操作中心,Operation Center
全ての親,All parents
センター,Center
グルーブ,Groove
腰,Waist
上半身,Upper body
上半身2,Upper body 2
首,Neck
頭,Head
左目,Left eye
右目,Right eye
両目,Both eyes
眼鏡,Glasses
あご,chin
左眉,Left eyebrow
右眉,Right eyebrow
左眉頭,Left eyebrow head
右眉頭,Right eyebrow head
前髪1,Bangs 1
右前髪,Right forelock
右前髪1,Right forelock 1
左前髪,Left bangs
左前髪1,Left forelock1
ﾈｸﾀｲ1,Necktie 1
ﾈｸﾀｲ2,Necktie 2
ﾈｸﾀｲ3,Necktie 3
ﾈｸﾀｲ4,Necktie 4
左r,Left r
左r先,Left r first
右r,Right r
右r先,Right r first
下半身,Lower body
左肩P,Left shoulder P
左肩,Left shoulder
左肩C,Left shoulder C
右肩P,Right shoulder P
右肩,Right shoulder
右肩C,Right shoulder C
左腕,left arm
左腕捩,Left arm torsion
左腕捩1,Left arm wrench 1
左腕捩2,left arm wrench 2
左腕捩3,left arm wrench 3
右腕,right arm
右腕捩,right arm wrench
右腕捩1,right arm wrench 1
右腕捩2,right arm wrench 2
右腕捩3,right arm wrench 3
左ひじ,left elbow
左手捩,left hand wrench
左手捩1,left hand screw1
左手捩2,left hand screw2
左手捩3,Left hand torsion 3
右ひじ,Right elbow
右手捩,right hand wrench
右手捩1,right hand wrench 1
右手捩2,Right hand wrench 2
右手捩3,Right hand wrench 3
左手首,Left wrist
左ダミー,Left dummy
右手首,Right wrist
右ダミー,Right dummy
左親指０,Left thumb 0
左親指１,Left thumb 1
左親指２,Left thumb 2
左中指１,Left middle finger 1
左中指２,Left middle finger 2
左中指３,Left middle finger 3
左小指１,Left little finger 1
左小指２,Left little finger 2
左小指３,Left little finger 3
左人指１,Left index finger 1
左人指２,Left thumb 2
左人指３,Left index finger 3
左薬指１,Left ring finger 1
左薬指２,Left ring finger 2
左薬指３,Left ring finger 3
右親指０,Right thumb 0
右親指１,Right thumb1
右親指２,Right thumb2
右中指１,Right middle finger1
右中指２,Right middle finger 2
右中指３,Right middle finger 3
右小指１,Right little finger 1
右小指２,Right little finger 2
右小指３,Right little finger 3
右人指１,Right index finger 1
右人指２,Right index finger 2
右人指３,Right index finger 3
右薬指１,Right ring finger 1
右薬指２,Right ring finger 2
右薬指３,Right ring finger 3
右袖,Right sleeve
左袖,Left sleeve
腰キャンセル左,Left hip cancel
左足,Left leg
腰キャンセル右,Right hip cancel
右足,Right leg
左ひざ,Left knee
右ひざ,Right knee
左足首,Left ankle
右足首,Right ankle
左つま先,Left toe
右つま先,Right toe
左足IK親,Left foot IK Parent
左足ＩＫ,Left foot IK
右足IK親,Right foot IK Parent
右足ＩＫ,Right foot IK
左つま先ＩＫ,Left toe IK
右つま先ＩＫ,Right toe IK
舌0,Tongue 0
舌1,Tongue 1
舌2,Tongue 2
上歯,Upper tooth
頭先,Head tip
右目先,Right eye tip
左目先,Left eye tip
両目先,Both eye tips
左手先,Left hand tip
右手先,Right hand tip
